ts,occ
408.5198865345732,5.0
408.52020706939396,4.0
408.56938443648505,3.0
408.64943975051807,2.0
408.7624303989325,3.0
408.78252183287833,2.0
408.92623769362416,3.0
408.933337565224,4.0
408.95243760845443,5.0
409.01885147408376,6.0
409.0544830857421,5.0
409.0658462718288,4.0
409.1455681394687,5.0
409.1487282822861,6.0
409.15544859356487,7.0
409.4728281896333,6.0
409.4728281896333,7.0
409.51409492567467,6.0
409.51409492567467,7.0
409.82349993665895,6.0
409.82349993665895,7.0
409.86200563556565,6.0
409.86200563556565,7.0
410.0289522427119,6.0
410.0289522427119,7.0
410.0802544892128,6.0
410.0802544892128,7.0
410.08812373953117,6.0
410.09436468185163,5.0
410.113448097096,6.0
410.1679614467539,5.0
410.18044790771506,6.0
410.200127895432,5.0
410.2199491087345,4.0
410.3067035132826,5.0
410.3885664411334,4.0
410.447353585922,5.0
410.46343215596715,6.0
410.513181747233,7.0
410.6465831193788,6.0
410.6925513914327,5.0
410.69712552367207,6.0
410.71309806326724,5.0
410.77109461006916,6.0
410.8397759462709,5.0
410.84413392035293,4.0
410.9381210851573,5.0
410.9408539006707,4.0
410.9426129829755,3.0
411.0247497028054,4.0
411.11569002064846,3.0
411.22638322297985,2.0
411.4465289024845,3.0
411.59209316235126,2.0
411.72280945051966,1.0
411.7381368803326,2.0
411.78278163375654,3.0
411.94527685615117,2.0
412.3572974962176,3.0
412.50650035385775,4.0
412.5136235657248,5.0
412.5804233625509,4.0
412.58374031397915,3.0
412.72095593464354,4.0
412.74218996637626,5.0
412.8577479014007,4.0
412.87014339142513,3.0
413.04170740802186,4.0
413.1003155440295,5.0
413.1336155064891,6.0
413.14448319932336,5.0
413.1589037360992,6.0
413.17027929895085,5.0
413.23951252717035,4.0
413.27472768217814,3.0
413.3666448629997,2.0
413.6117970771857,1.0
413.62431725627636,0.0
413.6629555194417,1.0
413.8428566814907,2.0
414.18906592542413,3.0
414.25853424831877,4.0
414.2820834688175,5.0
414.3244014455154,4.0
414.3726029459392,3.0
414.38908376526877,4.0
414.41023882296906,3.0
414.43770162849336,4.0
414.4585626853959,3.0
414.52930220376834,2.0
414.5390357979078,1.0
414.63286198426755,2.0
414.8194438176876,3.0
414.8288749790448,2.0
414.88018858540676,1.0
414.88223329633644,2.0
414.9108096876984,1.0
415.0975345289729,2.0
415.2857790360927,1.0
415.7584242082726,2.0
415.7969217690246,3.0
415.8742104173502,2.0
416.0233885667469,3.0
